,GLD,BTC
,close,close
2020-01-16,146.3,8673.162995135495
2020-01-17,146.6,8852.235104166672
2020-01-21,146.73,8645.604819193319
2020-01-22,146.77,8665.453755215573
2020-01-23,147.11,8435.653351916366
2020-01-24,147.97,8383.171906750174
2020-01-27,148.99,8722.594557491293
2020-01-28,147.69,9041.050729673389
2020-01-29,148.47,9330.04275000001
2020-01-30,148.45,9369.692439193876
2020-01-31,149.37,9341.253909722216
2020-02-03,148.37,9329.26867963865
2020-02-04,146.41,9202.141208333333
2020-02-05,146.57,9401.300271398764
2020-02-06,147.41,9687.489340277789
2020-02-07,147.77,9775.785979166689
2020-02-10,148.15,9920.90227777778
2020-02-11,147.67,9956.520090340542
2020-02-12,147.53,10342.78187499999
2020-02-13,148.37,10284.806888888874
2020-02-14,148.98,10260.13227083332
2020-02-18,150.88,9845.014822793615
2020-02-19,151.82,10098.332105628897
2020-02-20,152.43,9581.628520833328
2020-02-21,154.67,9688.954266851975
2020-02-24,156.15,9734.386838082011
2020-02-25,153.33,9489.186157053522
2020-02-26,153.95,9032.84789583332
2020-02-27,154.04,8795.39149305555
2020-02-28,148.515,8697.951965277776
2020-03-02,149.19,8746.59254166666
2020-03-03,153.93,8790.05220291869
2020-03-04,154.18,8760.307199444065
2020-03-05,157.48,9019.141243919392
2020-03-06,157.55,9097.39799861014
2020-03-09,157.89,7881.430569444436
2020-03-10,154.46,7947.440965948572
2020-03-11,153.93,7849.286750173964
2020-03-12,147.85,6666.839097222216
2020-03-13,143.34,5295.343312500004
2020-03-16,141.96,4985.268060224091
2020-03-17,143.85,5313.512569832397
2020-03-18,140.69,5285.533815881939
2020-03-19,138.07,5765.065430183361
2020-03-20,140.09,6361.588539482874
2020-03-23,146.3,6105.651800418696
2020-03-24,153.36,6652.867949790785
2020-03-25,151.3,6661.981901114193
2020-03-26,153.37,6671.632801120445
2020-03-27,152.28,6691.688261173169
2020-03-30,152.9,6273.833572923934
2020-03-31,148.05,6451.2255610444645
2020-04-01,149.51,6308.240070323484
2020-04-02,151.86,6724.2111929824605
2020-04-03,152.74,6814.590845771148
2020-04-06,156.89,7091.76361403509
2020-04-07,156.05,7317.996461107212
2020-04-08,154.65,7302.414809859152
2020-04-09,158.59,7304.862432239646
